Date,CO,CO2,NO2,SO2,O3,PM2.5,PM10,AQI
2024-01-01 00:00:00+00:00,232.0,,12.4,6.8,82.0,23.9,60.3,68.35834
2024-01-01 01:00:00+00:00,244.0,,15.3,7.5,79.0,22.3,57.4,67.695
2024-01-01 02:00:00+00:00,261.0,,19.3,8.6,75.0,22.7,55.8,66.945
2024-01-01 03:00:00+00:00,283.0,,22.9,10.1,72.0,25.3,58.6,66.168335
2024-01-01 04:00:00+00:00,317.0,,25.9,12.7,71.0,29.6,64.5,65.35667
2024-01-01 05:00:00+00:00,355.0,,28.4,15.8,70.0,30.5,66.8,64.53
2024-01-01 06:00:00+00:00,376.0,,28.9,17.4,73.0,25.7,62.4,63.893337
2024-01-01 07:00:00+00:00,367.0,,25.8,16.2,80.0,23.3,59.8,63.56667
2024-01-01 08:00:00+00:00,341.0,,20.7,13.5,90.0,22.1,57.2,63.47667
2024-01-01 09:00:00+00:00,317.0,,16.9,11.2,98.0,21.4,54.0,63.51667
2024-01-01 10:00:00+00:00,302.0,,15.6,10.0,102.0,21.2,52.5,63.653336
2024-01-01 11:00:00+00:00,289.0,,15.6,9.2,104.0,21.5,53.4,63.870003
2024-01-01 12:00:00+00:00,253.0,,13.6,7.1,93.0,20.8,52.3,64.13167
2024-01-01 13:00:00+00:00,251.0,,14.8,7.0,90.0,22.4,58.9,64.10167
2024-01-01 14:00:00+00:00,248.0,,16.3,6.8,85.0,23.6,63.6,64.17334
2024-01-01 15:00:00+00:00,244.0,,17.0,6.7,82.0,23.7,65.7,64.299995
2024-01-01 16:00:00+00:00,236.0,,16.1,6.6,81.0,23.8,68.7,64.42333
2024-01-01 17:00:00+00:00,227.0,,14.3,6.6,80.0,24.2,73.6,64.51667
2024-01-01 18:00:00+00:00,220.0,,12.7,6.6,80.0,25.1,80.3,64.59
2024-01-01 19:00:00+00:00,219.0,,11.6,6.6,80.0,26.8,88.7,64.75667
2024-01-01 20:00:00+00:00,220.0,,10.6,6.5,80.0,28.8,94.8,65.11333
2024-01-01 21:00:00+00:00,222.0,,9.9,6.4,81.0,30.5,98.0,65.630005
2024-01-01 22:00:00+00:00,223.0,,9.2,6.0,82.0,32.0,99.7,66.231674
2024-01-01 23:00:00+00:00,225.0,,8.8,5.5,84.0,32.6,99.2,66.85
2024-01-02 00:00:00+00:00,231.0,,9.0,5.1,85.0,33.4,97.8,67.43667
2024-01-02 01:00:00+00:00,238.0,,10.4,5.7,85.0,32.4,92.2,68.06167
2024-01-02 02:00:00+00:00,247.0,,12.3,6.4,84.0,31.1,84.5,68.64167
2024-01-02 03:00:00+00:00,255.0,,13.4,7.0,85.0,30.7,80.1,69.119995
2024-01-02 04:00:00+00:00,260.0,,13.1,7.2,87.0,31.0,78.0,69.47833
2024-01-02 05:00:00+00:00,265.0,,12.0,7.1,90.0,28.6,74.5,69.70333
2024-01-02 06:00:00+00:00,267.0,,11.1,7.1,94.0,26.9,71.0,69.831665
2024-01-02 07:00:00+00:00,267.0,,10.6,7.1,98.0,25.7,68.5,69.97499
