Data supplied by UK-AIR on 9/5/2025
All Data GMT hour ending  
Rows begining ## are Provisional
London Marylebone Road benzene ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2024,0.564707,0.786518,0.841429,0.508700,0.595759,0.414640,0.793355,0.616374,0.435739,0.280422,0.545790,0.410243,0.360528,0.634577,0.694638,0.938943,0.724937,0.664410,0.520550,0.384957,0.475609,0.567006,0.490546,0.133839
02-01-2024,0.315213,0.180223,      ,0.173393,0.293595,0.336098,0.287557,0.317782,0.356860,0.354181,0.348036,0.465643,0.251229,0.330578,0.351347,      ,0.293702,0.446895,0.637444,0.671762,0.409442,0.532303,0.309152,0.317318
03-01-2024,0.219584,0.344818,0.252224,0.199581,0.186560,0.213470,0.458372,      ,0.542505,0.622056,0.476063,0.561678,0.490669,      ,      ,      ,      ,      ,      ,0.541416,0.509174,0.621073,0.616407,0.471928
04-01-2024,0.696772,0.309210,0.252617,0.237504,0.232150,0.333945,0.436780,0.787066,0.664183,0.602170,2.090101,0.545518,1.098677,0.908578,0.738412,0.538704,0.796195,0.527445,0.482734,0.596346,0.485808,0.457756,0.402712,0.249114
05-01-2024,0.319079,0.155012,      ,0.126733,0.456978,0.281515,0.573051,0.330296,0.409166,0.635943,0.568702,0.522762,0.435619,0.487141,0.313326,0.458281,0.425725,0.487024,0.757902,0.498692,0.375702,0.442893,0.456702,0.730612
06-01-2024,0.471934,0.564321,0.554504,0.383420,0.473838,0.363894,0.392594,0.303603,0.508116,0.440250,0.353899,0.357956,0.326239,0.359058,0.526890,0.409072,0.394858,0.401110,0.542165,0.698231,0.600227,0.544185,0.478582,0.476935
07-01-2024,0.295035,0.336124,0.349751,0.296131,0.436770,0.270145,0.248151,0.233736,0.235487,0.322578,0.393395,0.243374,0.258645,0.179487,0.238863,0.394381,0.380070,0.252468,0.283879,0.479270,0.434821,0.518063,0.299391,0.493111
08-01-2024,0.319429,0.223877,0.204426,0.180969,0.282365,0.332524,0.260753,0.289344,0.265294,0.233058,0.366193,0.475761,0.381565,0.330021,0.576265,0.437727,0.519230,0.519879,0.664487,0.384000,      ,      ,      ,0.442789
09-01-2024,0.371638,0.364779,0.296284,0.344099,0.307394,0.443276,0.443636,0.409954,0.580831,0.433904,0.325785,0.309976,0.509222,0.819474,0.423163,0.405034,0.473361,0.322805,0.493708,0.412448,0.342347,0.275730,0.515027,0.393648
10-01-2024,0.342000,0.201397,0.297338,0.203398,0.345444,0.284408,0.212676,0.338268,0.344001,0.450972,0.253048,0.250340,0.329440,0.376645,0.307008,0.374362,0.590135,0.333783,0.400306,0.293384,0.367108,0.494853,0.350439,0.517508
