Data supplied by UK-AIR on 9/5/2025
All Data GMT hour ending  
Rows begining ## are Provisional
London Marylebone Road toluene ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2024,0.831405,2.704514,2.630391,1.710956,1.234295,1.046494,0.876629,2.761623,0.985262,0.771002,0.929457,0.750312,1.234547,1.053681,1.728869,1.174057,1.173407,0.937899,1.336077,0.927399,0.545425,0.568540,0.981961,0.409561
02-01-2024,0.453286,0.488297,0.428828,0.423928,0.288604,0.346539,0.558763,1.080491,1.435973,1.140825,0.782516,0.741706,1.088065,0.501566,0.624471,0.797648,0.540062,1.229521,1.294353,1.279947,1.117075,0.983276,0.515536,1.016035
03-01-2024,0.465740,0.337033,0.307087,0.336838,0.283237,0.372339,0.526024,0.632557,1.465771,0.952438,1.780699,1.185138,1.589321,      ,      ,      ,      ,      ,      ,1.400736,1.655897,1.424345,1.023042,1.566279
04-01-2024,1.402989,0.620255,0.625385,0.556150,0.402225,0.336222,0.677391,2.197707,1.388848,1.797005,18.689194,1.543860,1.852465,2.108502,2.743522,1.355248,1.946628,1.440556,1.044222,1.297746,0.987274,0.502125,0.613994,0.436624
05-01-2024,0.318554,0.208120,0.132907,0.283241,0.499723,0.487937,0.756949,0.909341,1.387597,1.461169,1.614058,0.934564,1.126431,0.982798,0.966289,0.958960,1.211042,1.671871,1.571940,1.415210,0.622443,0.567216,1.307618,1.138430
06-01-2024,1.067693,0.781583,0.836534,0.763926,0.646629,0.300339,0.527868,0.402523,0.448042,0.472293,0.630801,0.511213,0.383023,0.624922,0.965038,0.590825,0.574905,0.601772,0.495932,0.914903,0.602958,0.712203,0.772406,0.453129
07-01-2024,0.314920,0.367856,0.210239,0.223286,0.254572,0.138251,0.308223,0.335018,0.370400,0.248161,0.267654,0.238786,0.258332,0.255417,0.342599,0.273231,0.542583,0.238698,0.319124,0.721104,0.912145,0.616901,0.486591,0.346026
08-01-2024,0.298048,0.210231,0.262475,0.212140,0.187476,0.293837,0.338846,0.296422,0.733237,0.670165,0.419851,0.403020,0.405904,0.403954,0.521189,0.769530,0.546052,0.553339,0.602216,0.592210,0.423802,0.452724,0.602281,0.560090
09-01-2024,0.445815,0.315666,0.261377,0.277894,0.288038,0.289231,0.432072,0.314335,0.595358,1.272940,0.609446,0.330217,0.643359,0.759095,0.549770,1.221358,0.804449,0.312048,0.760832,0.563778,0.465232,0.267156,0.519739,0.301739
10-01-2024,0.521759,0.382189,0.388695,0.245671,0.347109,0.233675,0.306628,0.469810,0.589888,0.773577,0.587574,0.342285,0.526211,0.494666,0.435973,0.474978,0.588304,0.648048,0.599848,0.556170,0.699997,0.445054,0.718025,0.584655
11-01-2024,0.485623,0.410758,0.538827,0.634160,0.464161,0.348968,0.428350,0.436448,1.024343,0.852519,0.857297,0.769534,0.337313,0.654444,0.646828,1.070787,1.093554,1.352770,0.867533,0.615745,0.788235,0.480150,      ,      
12-01-2024,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,0.628368,0.538651,0.401792,0.556694,1.058696,0.494115,1.173028,0.897047,0.874762,0.826994,0.805325,0.663846,0.652612
13-01-2024,1.098829,1.348619,0.663330,0.682425,0.792630,0.392532,0.483703,0.725227,0.834778,1.232593,1.107634,1.477189,1.764109,4.250229,3.019806,2.423319,3.268621,1.958306,1.277710,3.030198,2.539266,1.729098,1.615791,2.670738
14-01-2024,1.171770,1.698448,1.247843,1.394563,0.981245,0.492669,1.140576,1.196430,2.006697,1.906181,2.263993,1.678905,1.973641,0.552781,1.224881,0.466934,1.395569,1.076643,1.063221,0.718404,0.964621,0.272186,0.294835,0.448252
15-01-2024,0.364968,0.541577,0.690725,0.715267,0.456235,0.626919,0.379951,0.731971,3.006085,2.234757,0.696405,0.363985,0.629543,0.604572,1.500082,0.399356,1.053995,1.572877,2.746127,3.537078,3.491264,3.986810,3.255225,3.358128
16-01-2024,2.688866,2.310708,2.388660,2.346802,1.617589,1.934085,1.694313,2.523652,3.556865,3.596875,3.211925,3.256201,3.167569,1.820212,2.023681,2.343486,2.755889,3.904754,4.123335,3.371298,1.545191,3.136460,2.223378,1.923482
17-01-2024,2.429026,2.012779,1.443818,1.332569,1.978720,1.811483,3.322382,5.229784,5.676058,5.888309,6.992359,1.464321,1.203021,1.467748,0.636344,1.432477,1.032460,1.191182,0.900276,0.673914,0.870918,      ,      ,      
18-01-2024,      ,      ,      ,0.500985,0.839728,0.911104,2.371095,3.239408,4.644413,4.633799,4.343546,2.443631,1.352047,1.204478,1.050338,1.017572,1.370713,3.186236,3.971701,6.752051,5.520063,3.849477,4.047308,3.036318
19-01-2024,2.992456,3.441967,2.279308,1.823486,1.731707,1.600843,2.493128,3.111971,4.726401,3.215597,4.075235,4.715878,2.862911,3.561723,2.226713,2.413397,4.253251,5.587576,5.471886,3.192952,2.860326,2.898003,1.979340,1.964411
20-01-2024,1.844364,1.393266,0.506807,0.987909,0.403690,0.472553,0.512655,0.536795,0.824152,1.299968,1.388657,1.859301,1.784310,1.806977,2.055437,2.858738,2.982840,2.448320,2.458235,2.204807,2.420623,2.291759,1.472247,2.010102
21-01-2024,1.209248,0.828551,1.254560,0.614449,0.447938,0.560760,1.017549,0.480107,0.631933,0.532374,0.991944,0.956860,1.145721,1.061664,1.271762,0.626402,0.758211,1.379262,0.932116,0.679081,0.514568,0.206441,0.315330,0.427313
22-01-2024,0.224916,0.192617,0.199269,0.291304,0.375216,0.304795,0.674732,1.178701,1.486855,1.679735,0.838944,      ,      ,      ,      ,      ,3.195248,2.630908,1.193095,2.326388,1.184381,1.139448,1.441573,1.145139
23-01-2024,0.907593,1.077890,0.558009,0.406654,0.668700,0.349989,0.849922,2.033936,1.520389,2.467786,3.140510,1.253902,1.577020,1.450394,1.911621,1.435170,1.505387,3.646690,1.132964,1.646323,0.907800,0.883418,1.070714,0.762576
24-01-2024,1.080690,0.428308,      ,0.249798,0.534424,0.226029,0.538651,1.264655,3.782775,1.223757,1.172320,1.174451,1.395175,2.311531,1.691930,2.023600,2.182510,6.171210,3.985643,4.575833,2.343226,3.065580,2.101410,      
25-01-2024,      ,      ,      ,1.012856,1.259927,1.328664,1.253608,1.476718,2.189024,3.310570,2.028083,1.230420,1.545141,1.761979,28.725625,2.362837,2.535315,3.481281,3.020892,1.446190,0.931335,2.199570,0.906847,1.046628
26-01-2024,0.763586,0.333587,0.290868,0.352724,0.676790,0.335423,0.379285,0.535816,1.083264,1.553794,0.717007,0.912986,0.823946,0.705253,0.982274,1.915151,3.989189,6.615101,4.965902,4.172235,3.223798,4.692617,2.783020,2.668470
27-01-2024,2.904138,1.329283,1.235511,1.200248,0.597806,0.913820,1.507678,1.709131,12.656288,21.754966,8.540526,3.300832,1.870723,1.064533,0.645554,0.612326,1.045373,1.725128,1.601864,1.160390,1.740363,1.159717,1.586552,1.412338
28-01-2024,1.606538,1.818671,1.773737,1.900738,1.203354,1.512559,1.468525,1.414048,1.647023,2.195642,1.897181,3.215976,1.853666,1.247985,1.404068,1.567277,1.685343,1.625339,2.519192,2.643729,1.982438,2.329647,3.046600,1.662431
29-01-2024,1.741293,1.202298,0.980423,0.669863,0.536103,0.875852,1.401930,1.571473,2.046241,1.900356,2.394080,2.006353,2.032268,1.738083,2.102635,2.876762,4.689362,2.905148,2.799369,3.053336,1.563636,1.376084,1.089534,1.024591
30-01-2024,0.814999,0.370947,0.170588,0.227280,0.386408,0.410976,1.141567,1.128535,1.114405,1.083888,0.801867,0.785025,0.631107,1.473383,0.518385,0.642628,0.915771,0.827905,1.036747,1.261709,0.884459,1.888796,0.667170,0.778871
