#### EXPORT DONNEES METEO POUR "LONDRES" (LAT/LON: 51.5073509/-0.1277583)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2024-01-01,10,7,22,7,8,9,0.7,77,8.875,1005,86.5,10,9,4,116,176,266,0,2,1,météo défavorable,16:02:00,08:06:00,8,176,7,122,8,176,10,176,8,200
2024-01-02,12,9,41,11,12,9,3.3,94,7.75,992,92.125,12,11,8,122,296,266,0,3,1,météo défavorable,16:03:00,08:06:00,11,116,11,266,12,122,10,176,11,296
2024-01-03,11,10,28,10,11,10,0.3,75,9.875,996,96.875,11,6,6,176,176,176,0,3,1,météo défavorable,16:04:00,08:06:00,10,122,10,176,10,176,10,200,10,122
2024-01-04,8,6,17,6,8,7,0.5,83,9,1004,75.125,8,6,3,116,122,266,0,2,3,météo très défavorable,16:05:00,08:06:00,8,176,6,113,8,176,7,353,8,119
2024-01-05,7,4,21,6,6,5,2.9,85,9.875,1008,84.75,7,5,2,176,119,176,0,2,7,météo très défavorable,16:06:00,08:05:00,4,296,5,119,7,119,5,122,6,353
2024-01-06,7,5,12,5,6,5,0,84,10,1021,84.875,7,3,3,122,176,176,0,2,3,météo très défavorable,16:07:00,08:05:00,5,176,5,176,7,176,5,122,5,119
2024-01-07,5,2,18,3,5,3,0,70,10,1032,40.75,5,0,-1,176,113,113,0,2,6,météo très défavorable,16:09:00,08:05:00,3,113,3,113,5,176,3,116,4,116
2024-01-08,4,2,18,2,4,2,0,68,10,1033,46.375,4,0,-2,113,176,176,0,2,5,météo très défavorable,16:10:00,08:04:00,2,113,2,116,4,368,2,176,2,116
2024-01-09,4,1,23,1,4,2,0,59,10,1032,31,4,0,-4,116,113,113,0,1,8,météo très défavorable,16:11:00,08:04:00,1,122,1,113,3,113,2,113,1,122
2024-01-10,4,1,18,1,4,2,0,63,10,1030,20.875,4,0,-4,113,113,119,0,2,8,météo très défavorable,16:12:00,08:03:00,1,113,1,116,4,113,2,116,1,113
2024-01-11,5,1,14,1,4,5,0,82,10,1037,33.375,5,2,-3,113,113,122,0,2,7,météo très défavorable,16:14:00,08:03:00,1,113,1,113,5,116,5,122,1,113
2024-01-12,7,3,15,5,7,4,0,75,10,1036,66.125,7,2,2,122,116,116,0,2,6,météo très défavorable,16:15:00,08:02:00,5,122,6,122,7,116,3,113,6,122
2024-01-13,5,1,9,1,5,4,0,93,10,1030,32.125,5,2,-1,113,113,116,0,2,8,météo très défavorable,16:17:00,08:01:00,2,113,1,113,5,116,4,122,2,113
2024-01-14,6,3,13,4,6,4,0,81,10,1020,79.625,6,2,2,122,119,116,0,1,4,météo très défavorable,16:18:00,08:01:00,4,122,4,122,6,113,3,122,3,119
2024-01-15,2,0,17,-0,2,1,0,69,10,1017,13.625,2,0,-4,113,113,113,0,2,8,météo très défavorable,16:20:00,08:00:00,1,113,0,113,2,116,0,116,1,113
2024-01-16,3,-1,9,-0,2,1,0,63,10,1016,37.875,3,0,-3,116,113,113,0,1,9,météo très défavorable,16:21:00,07:59:00,0,122,0,113,3,113,0,113,0,122
2024-01-17,3,0,12,2,3,2,0,75,10,1000,94.5,3,0,-1,122,122,176,0.1,2,1,météo très défavorable,16:23:00,07:58:00,1,122,1,122,3,122,1,311,1,116
2024-01-18,2,-1,14,-1,2,0,0,54,10,1017,2.5,2,0,-5,113,113,113,0,2,9,météo très défavorable,16:25:00,07:57:00,-1,113,-1,113,2,113,0,113,-1,113
2024-01-19,2,-1,9,-1,2,0,0,75,10,1026,10.75,2,0,-4,113,116,113,0,2,9,météo très défavorable,16:26:00,07:56:00,0,113,-1,113,2,113,0,113,0,113
2024-01-20,5,0,21,2,5,4,0,68,10,1025,75,5,0,-1,116,122,119,0,2,3,météo très défavorable,16:28:00,07:55:00,1,122,3,122,5,116,4,122,0,116
2024-01-21,11,4,30,7,10,11,1.9,94,9.875,1016,90.375,11,9,3,176,122,122,0,2,2,météo défavorable,16:29:00,07:54:00,4,176,8,113,11,122,11,296,4,122
2024-01-22,13,7,30,9,9,7,0.1,74,10,1022,64.375,13,9,5,176,176,116,0,2,5,météo correcte,16:31:00,07:53:00,13,176,8,119,9,116,7,116,12,176
2024-01-23,12,6,25,6,9,12,1.7,96,8.875,1024,77.5,12,11,3,122,266,122,0,3,1,météo défavorable,16:33:00,07:52:00,6,113,7,296,11,122,12,122,7,113
2024-01-24,13,8,27,10,10,9,0.4,75,9,1029,63.25,13,10,5,113,116,122,0,2,8,météo correcte,16:35:00,07:51:00,11,122,9,116,10,113,9,266,13,176
2024-01-25,11,8,19,8,11,11,0,97,9,1030,92,11,9,6,122,119,116,0,2,2,météo défavorable,16:36:00,07:50:00,8,122,9,143,11,176,11,122,8,122
2024-01-26,12,5,26,8,8,6,0.3,74,10,1037,38.125,12,11,3,176,113,113,0,2,9,météo défavorable,16:38:00,07:48:00,12,176,6,113,8,113,5,113,12,176
2024-01-27,8,4,12,4,7,6,0,81,10,1035,49.375,8,2,2,116,122,116,0,3,6,météo très défavorable,16:40:00,07:47:00,4,116,5,116,8,116,5,119,5,113
2024-01-28,10,5,14,5,9,8,0,74,10,1028,61.375,10,5,3,122,113,116,0,3,7,météo très défavorable,16:42:00,07:46:00,5,122,6,116,10,116,8,122,6,116
2024-01-29,13,8,15,8,12,11,0,97,6.5,1023,70.5,13,9,7,248,113,119,0,2,6,météo défavorable,16:43:00,07:44:00,8,143,8,248,13,116,11,116,8,122
2024-01-30,11,5,22,10,8,7,0,85,10,1034,78.125,11,8,4,122,176,116,0,2,1,météo défavorable,16:45:00,07:43:00,10,122,8,176,8,122,6,113,11,119
2024-01-31,11,4,20,4,8,9,0,86,10,1035,42.625,11,8,2,113,113,122,0,3,9,météo très défavorable,16:47:00,07:41:00,5,119,5,113,9,116,11,122,6,113
2024-02-01,10,6,12,6,8,7,0.3,73,9,1035,32,10,8,4,113,113,116,0,2,9,météo défavorable,16:49:00,07:40:00,9,176,6,113,8,113,6,113,10,266
